ID,Weights
361,0.5;0.0333333;0.466667
362,0.5;0.0666667;0.433333
363,0.5;0.1;0.4
364,0.5;0.133333;0.366667
365,0.5;0.166667;0.333333
366,0.5;0.2;0.3
367,0.5;0.233333;0.266667
368,0.5;0.266667;0.233333
369,0.5;0.3;0.2
370,0.5;0.333333;0.166667
371,0.5;0.366667;0.133333
372,0.5;0.4;0.1
373,0.5;0.433333;0.0666667
374,0.5;0.466667;0.0333333
375,0.5;0.5;0
376,0.533333;0;0.466667
377,0.533333;0.0333333;0.433333
378,0.533333;0.0666667;0.4
379,0.533333;0.1;0.366667
380,0.533333;0.133333;0.333333
381,0.533333;0.166667;0.3
382,0.533333;0.2;0.266667
383,0.533333;0.233333;0.233333
384,0.533333;0.266667;0.2
385,0.533333;0.3;0.166667
386,0.533333;0.333333;0.133333
387,0.533333;0.366667;0.1
388,0.533333;0.4;0.0666667
389,0.533333;0.433333;0.0333333
390,0.533333;0.466667;0
391,0.566667;0;0.433333
392,0.566667;0.0333333;0.4
393,0.566667;0.0666667;0.366667
394,0.566667;0.1;0.333333
395,0.566667;0.133333;0.3
396,0.566667;0.166667;0.266667
397,0.566667;0.2;0.233333
398,0.566667;0.233333;0.2
399,0.566667;0.266667;0.166667
400,0.566667;0.3;0.133333
401,0.566667;0.333333;0.1
402,0.566667;0.366667;0.0666667
403,0.566667;0.4;0.0333333
404,0.566667;0.433333;0
405,0.6;0;0.4
406,0.6;0.0333333;0.366667
407,0.6;0.0666667;0.333333
408,0.6;0.1;0.3
409,0.6;0.133333;0.266667
410,0.6;0.166667;0.233333
411,0.6;0.2;0.2
412,0.6;0.233333;0.166667
413,0.6;0.266667;0.133333
414,0.6;0.3;0.1
415,0.6;0.333333;0.0666667
416,0.6;0.366667;0.0333333
417,0.6;0.4;0
418,0.633333;0;0.366667
419,0.633333;0.0333333;0.333333
420,0.633333;0.0666667;0.3
421,0.633333;0.1;0.266667
422,0.633333;0.133333;0.233333
423,0.633333;0.166667;0.2
424,0.633333;0.2;0.166667
425,0.633333;0.233333;0.133333
426,0.633333;0.266667;0.1
427,0.633333;0.3;0.0666667
428,0.633333;0.333333;0.0333333
429,0.633333;0.366667;0
430,0.666667;0;0.333333
431,0.666667;0.0333333;0.3
432,0.666667;0.0666667;0.266667
433,0.666667;0.1;0.233333
434,0.666667;0.133333;0.2
435,0.666667;0.166667;0.166667
436,0.666667;0.2;0.133333
437,0.666667;0.233333;0.1
438,0.666667;0.266667;0.0666667
439,0.666667;0.3;0.0333333
440,0.666667;0.333333;0
441,0.7;0;0.3
442,0.7;0.0333333;0.266667
443,0.7;0.0666667;0.233333
444,0.7;0.1;0.2
445,0.7;0.133333;0.166667
446,0.7;0.166667;0.133333
447,0.7;0.2;0.1
448,0.7;0.233333;0.0666667
449,0.7;0.266667;0.0333333
450,0.7;0.3;0
451,0.733333;0;0.266667
452,0.733333;0.0333333;0.233333
453,0.733333;0.0666667;0.2
454,0.733333;0.1;0.166667
455,0.733333;0.133333;0.133333
456,0.733333;0.166667;0.1
457,0.733333;0.2;0.0666667
458,0.733333;0.233333;0.0333333
459,0.733333;0.266667;0
460,0.766667;0;0.233333
461,0.766667;0.0333333;0.2
462,0.766667;0.0666667;0.166667
463,0.766667;0.1;0.133333
464,0.766667;0.133333;0.1
465,0.766667;0.166667;0.0666667
466,0.766667;0.2;0.0333333
467,0.766667;0.233333;0
468,0.8;0;0.2
469,0.8;0.0333333;0.166667
470,0.8;0.0666667;0.133333
471,0.8;0.1;0.1
472,0.8;0.133333;0.0666667
473,0.8;0.166667;0.0333333
474,0.8;0.2;0
475,0.833333;0;0.166667
476,0.833333;0.0333333;0.133333
477,0.833333;0.0666667;0.1
478,0.833333;0.1;0.0666667
479,0.833333;0.133333;0.0333333
480,0.833333;0.166667;0
481,0.866667;0;0.133333
482,0.866667;0.0333333;0.1
483,0.866667;0.0666667;0.0666667
484,0.866667;0.1;0.0333333
485,0.866667;0.133333;0
486,0.9;0;0.1
487,0.9;0.0333333;0.0666667
488,0.9;0.0666667;0.0333333
489,0.9;0.1;0
490,0.933333;0;0.0666667
491,0.933333;0.0333333;0.0333333
492,0.933333;0.0666667;0
493,0.966667;0;0.0333333
494,0.966667;0.0333333;0
495,1;0;0
